CUST_ID,segment,segment_name,BALANCE,CREDIT_LIMIT,ONEOFF_PURCHASES,INSTALLMENTS_PURCHASES,CASH_ADVANCE,PAYMENTS,MINIMUM_PAYMENTS,PURCHASES_TRX,ONEOFF_PURCHASES_FREQUENCY,PURCHASES_INSTALLMENTS_FREQUENCY,CASH_ADVANCE_FREQUENCY,PRC_FULL_PAYMENT,BALANCE_TO_LIMIT_RATIO
C10032,1,Low-Balance Occasional Users,1162.273324,6000.0,400.0,947.71,175.815755,645.998299,256.848991,45,0.083333,1.0,0.166667,0.0,0.19371222066666666
C10033,4,Cash Advance Revolvers,6732.823064,10500.0,324.95,0.0,1189.533753,1720.118876,2506.745366,3,0.083333,0.0,0.166667,0.0,0.6412212441904762
C10034,1,Low-Balance Occasional Users,125.660453,1200.0,636.79,0.0,0.0,423.449696,196.301885,11,0.916667,0.0,0.0,0.3,0.10471704416666668
C10035,0,High-Utilization Revolvers,3517.101616,11000.0,0.0,547.28,0.0,8735.607835,17862.55831,14,0.0,1.0,0.0,0.0,0.31973651054545454
C10036,0,High-Utilization Revolvers,1656.350781,1800.0,0.0,0.0,99.264367,351.500199,634.569311,0,0.0,0.0,0.083333,0.0,0.9201948783333334
C10037,4,Cash Advance Revolvers,7427.076941,9000.0,0.0,0.0,8873.375046,1636.361601,1986.843608,0,0.0,0.0,0.727273,0.0,0.8252307712222222
C10038,3,Active Purchasers,4047.480828,5000.0,1642.17,738.38,1697.660901,1617.894416,1541.141605,41,0.5,0.75,0.333333,0.0,0.8094961656
C10039,4,Cash Advance Revolvers,6269.418144,9000.0,204.0,0.0,2925.699862,1237.111661,2049.408839,2,0.083333,0.0,0.333333,0.0,0.696602016
C10040,4,Cash Advance Revolvers,1411.60223,7500.0,963.24,0.0,6173.682877,20071.07544,719.948985,6,0.083333,0.0,0.333333,0.333333,0.18821363066666666
C10041,0,High-Utilization Revolvers,663.44781,1800.0,0.0,0.0,3133.063934,3067.05783,283.333445,0,0.0,0.0,0.25,0.166667,0.3685821166666667
C10043,1,Low-Balance Occasional Users,784.889762,3000.0,786.3,740.29,2188.419607,1262.309666,363.142736,27,0.416667,0.333333,0.25,0.111111,0.2616299206666667
C10044,0,High-Utilization Revolvers,4104.710798,4500.0,203.82,0.0,0.0,868.275275,1801.264841,1,0.083333,0.0,0.0,0.0,0.9121579551111111
C10045,0,High-Utilization Revolvers,1360.742377,1500.0,0.0,0.0,1481.587093,378.294227,321.354137,0,0.0,0.0,0.083333,0.0,0.9071615846666667
C10046,3,Active Purchasers,5315.945594,8500.0,469.8,1055.64,0.0,1430.341501,1318.71492,20,0.333333,1.0,0.0,0.0,0.625405364
C10047,0,High-Utilization Revolvers,2242.311686,2400.0,97.0,340.0,184.648692,0.0,312.343947,5,0.083333,0.333333,0.166667,0.0,0.9342965358333334
C10048,1,Low-Balance Occasional Users,474.447149,1700.0,0.0,109.74,1013.659552,176.013005,147.199792,3,0.0,0.25,0.125,0.0,0.27908655823529416
C10049,0,High-Utilization Revolvers,3910.111237,4200.0,0.0,0.0,1980.873201,0.0,312.343947,0,0.0,0.0,0.5,0.0,0.930978865952381
C10050,3,Active Purchasers,229.867179,3300.0,1402.93,987.67,0.0,2543.953559,175.657825,87,0.666667,1.0,0.0,0.916667,0.0696567209090909
C10051,1,Low-Balance Occasional Users,863.809833,4000.0,507.5,0.0,695.097159,587.866451,286.448719,3,0.166667,0.0,0.083333,0.083333,0.21595245825
C10052,4,Cash Advance Revolvers,4931.331857,12000.0,646.07,255.35,8530.648614,8113.297346,1012.415961,9,0.375,0.25,0.875,0.0,0.4109443214166667
C10053,3,Active Purchasers,1078.888565,2500.0,2221.74,886.11,0.0,1399.82834,1322.446601,18,0.583333,0.5,0.0,0.0,0.43155542599999996
C10054,0,High-Utilization Revolvers,1565.681099,3500.0,0.0,0.0,321.359135,691.825279,581.481917,0,0.0,0.0,0.25,0.0,0.4473374568571428
C10055,1,Low-Balance Occasional Users,464.674156,3000.0,1979.22,0.0,1981.265503,3110.052742,132.446091,11,0.666667,0.0,0.111111,0.2,0.15489138533333333
C10056,1,Low-Balance Occasional Users,6.660517,1000.0,0.0,310.0,0.0,417.016763,312.343947,8,0.0,0.666667,0.0,0.0,0.0066605169999999995
C10057,1,Low-Balance Occasional Users,1311.995984,6000.0,1283.9,0.0,0.0,0.0,312.343947,6,0.25,0.0,0.0,0.0,0.2186659973333333
C10058,0,High-Utilization Revolvers,3625.218146,4000.0,313.27,0.0,668.468743,0.0,312.343947,4,0.25,0.0,0.416667,0.0,0.9063045365000001
C10059,3,Active Purchasers,2386.330629,7500.0,4789.09,428.53,0.0,5678.729613,1311.514878,42,0.916667,0.5,0.0,0.083333,0.3181774172
C10060,0,High-Utilization Revolvers,3971.138765,4000.0,0.0,0.0,224.575517,764.938728,1600.212243,0,0.0,0.0,0.181818,0.0,0.99278469125
C10061,0,High-Utilization Revolvers,5493.90406,6000.0,0.0,229.0,970.591332,2110.557023,1895.02617,6,0.0,0.333333,0.333333,0.0,0.9156506766666667
C10062,1,Low-Balance Occasional Users,1879.114033,6500.0,113.0,0.0,0.0,3509.686561,548.105836,2,0.166667,0.0,0.0,0.0,0.2890944666153846
C10063,0,High-Utilization Revolvers,1555.793701,1600.0,66.2,0.0,0.0,338.083661,837.215674,1,0.083333,0.0,0.0,0.0,0.972371063125
C10064,4,Cash Advance Revolvers,809.582978,4150.0,0.0,0.0,3819.672466,4372.148648,241.645387,0,0.0,0.0,0.545455,0.090909,0.19508023566265062
C10065,1,Low-Balance Occasional Users,7.152356,1600.0,840.0,0.0,0.0,0.0,312.343947,1,0.083333,0.0,0.0,0.0,0.0044702225
C10067,0,High-Utilization Revolvers,1923.886805,1850.0,0.0,1887.64,1605.949371,3688.045998,3266.996777,61,0.0,1.0,0.083333,0.083333,1.0
C10068,0,High-Utilization Revolvers,1758.059987,1800.0,325.21,87.12,0.0,777.451648,897.905444,11,0.333333,0.166667,0.0,0.0,0.9766999927777779
C10069,0,High-Utilization Revolvers,809.847455,1500.0,0.0,0.0,908.423608,146.074769,179.412493,0,0.0,0.0,0.125,0.0,0.5398983033333333
C10070,0,High-Utilization Revolvers,1576.305029,2500.0,0.0,0.0,382.908547,540.022225,352.883804,0,0.0,0.0,0.416667,0.0,0.6305220116
C10071,0,High-Utilization Revolvers,3990.523579,6000.0,190.6,72.9,0.0,6876.836205,1001.607366,8,0.083333,0.583333,0.0,0.083333,0.6650872631666667
C10072,0,High-Utilization Revolvers,1699.435486,1700.0,1363.69,0.0,0.0,1623.816348,923.505868,4,0.333333,0.0,0.0,0.0,0.9996679329411765
C10073,0,High-Utilization Revolvers,5487.683724,6250.0,0.0,419.1,625.399386,1288.214909,2180.881868,11,0.0,0.833333,0.333333,0.0,0.8780293958400001
C10074,4,Cash Advance Revolvers,2990.422186,7000.0,1664.09,2859.18,27296.48576,28232.69446,1107.030803,33,0.5,0.583333,0.833333,0.454545,0.4272031694285714
C10075,1,Low-Balance Occasional Users,656.01301,7000.0,0.0,0.0,1474.349901,910.457985,140.983193,0,0.0,0.0,0.125,0.25,0.09371614428571429
C10077,0,High-Utilization Revolvers,1808.972419,2250.0,503.08,210.82,0.0,889.017418,622.757696,8,0.1,0.4,0.0,0.0,0.8039877417777778
C10078,1,Low-Balance Occasional Users,532.334517,6000.0,516.64,275.3,0.0,1305.177304,175.510344,7,0.090909,0.181818,0.0,0.0,0.0887224195
C10079,0,High-Utilization Revolvers,5860.433624,6000.0,249.5,312.37,0.0,1990.044998,2161.428274,14,0.166667,0.75,0.0,0.0,0.9767389373333334
C10080,3,Active Purchasers,1727.638449,11000.0,606.11,0.0,0.0,2959.920544,623.656993,17,1.0,0.0,0.0,0.0,0.1570580408181818
C10081,1,Low-Balance Occasional Users,578.809679,1500.0,0.0,320.0,0.0,1438.910569,190.186542,8,0.0,0.666667,0.0,0.0,0.3858731193333333
C10082,0,High-Utilization Revolvers,1205.716678,1200.0,0.0,0.0,38.325801,29.278671,8242.687678,0,0.0,0.0,0.083333,0.0,1.0
C10083,4,Cash Advance Revolvers,6593.820644,7000.0,388.66,0.0,4621.93458,1624.583114,2503.40234,7,0.583333,0.0,0.416667,0.0,0.9419743777142857
C10084,1,Low-Balance Occasional Users,17.357563,5000.0,40.21,204.64,0.0,357.802082,121.523416,13,0.166667,0.583333,0.0,0.181818,0.0034715125999999997
C10085,1,Low-Balance Occasional Users,81.584711,9500.0,0.0,0.0,2985.300006,116.569033,164.692136,0,0.0,0.0,0.166667,0.0,0.008587864315789473
C10086,1,Low-Balance Occasional Users,3.78631,12000.0,28.2,104.85,0.0,210.053432,99.533735,5,0.166667,0.25,0.0,0.444444,0.0003155258333333333
C10087,2,Full-Payment Transactors,42.46443,1200.0,0.0,396.0,0.0,725.606194,140.809454,12,0.0,0.416667,0.0,1.0,0.035387025
C10088,3,Active Purchasers,1935.362486,9000.0,4515.34,400.26,293.844792,4921.066897,594.756686,50,1.0,0.333333,0.083333,0.0,0.21504027622222222
C10089,2,Full-Payment Transactors,134.917202,16500.0,1247.8,0.0,0.0,1275.229436,171.357189,22,1.0,0.0,0.0,1.0,0.008176800121212122
C10090,4,Cash Advance Revolvers,7069.950386,11000.0,1445.14,158.64,5626.004046,4589.873897,1876.262988,23,0.833333,1.0,0.75,0.0,0.6427227623636365
C10092,4,Cash Advance Revolvers,8181.251131,13500.0,1318.78,939.23,5251.228934,3021.575846,2074.581541,60,0.75,1.0,0.75,0.0,0.6060186022962963
C10093,0,High-Utilization Revolvers,4037.305658,4500.0,45.0,0.0,104.238064,1073.844885,968.941265,1,0.083333,0.0,0.083333,0.0,0.8971790351111112
C10094,4,Cash Advance Revolvers,6110.265264,6500.0,0.0,0.0,2717.253917,1502.205631,2864.380327,0,0.0,0.0,0.416667,0.0,0.9400408098461538
C10095,3,Active Purchasers,9381.255094,9000.0,1147.83,3952.24,370.737197,6409.496345,9827.045323,46,0.25,0.916667,0.083333,0.0,1.0
C10096,4,Cash Advance Revolvers,1977.00709,4000.0,226.9,805.14,4335.919227,3056.424974,910.707525,17,0.090909,0.818182,0.545455,0.090909,0.4942517725
C10097,0,High-Utilization Revolvers,1321.47608,1800.0,45.65,0.0,495.657934,440.840439,312.560636,1,0.083333,0.0,0.083333,0.0,0.7341533777777778
C10098,0,High-Utilization Revolvers,1307.717841,2400.0,405.6,0.0,0.0,0.0,312.343947,2,0.166667,0.0,0.0,0.0,0.54488243375
C10099,0,High-Utilization Revolvers,2329.485768,2400.0,213.34,0.0,0.0,0.0,312.343947,3,0.25,0.0,0.0,0.0,0.97061907
C10100,0,High-Utilization Revolvers,1139.782882,1200.0,0.0,0.0,120.612912,151.823651,2906.110765,0,0.0,0.0,0.083333,0.0,0.9498190683333333
C10101,1,Low-Balance Occasional Users,1619.955708,6000.0,739.44,0.0,0.0,417.128532,389.138517,11,0.666667,0.0,0.0,0.0,0.269992618
C10102,0,High-Utilization Revolvers,3505.671311,4000.0,0.0,0.0,1713.984305,0.0,312.343947,0,0.0,0.0,0.5,0.0,0.87641782775
C10103,2,Full-Payment Transactors,4.708041,7000.0,0.0,79.0,0.0,217.820198,121.781205,3,0.0,0.166667,0.0,1.0,0.0006725772857142857
C10104,1,Low-Balance Occasional Users,0.0,3000.0,0.0,0.0,89.849004,138.021428,312.343947,0,0.0,0.0,0.142857,0.0,0.0
C10105,1,Low-Balance Occasional Users,4.875885,1500.0,20.0,0.0,0.0,26.487919,60.913577,1,0.111111,0.0,0.0,0.0,0.0032505900000000003
C10106,1,Low-Balance Occasional Users,23.394411,2000.0,0.0,1346.28,0.0,712.149153,54.79166,12,0.0,1.0,0.0,0.0,0.0116972055
C10107,3,Active Purchasers,3539.801912,5700.0,1540.41,1283.39,0.0,9172.788366,2103.796148,75,0.916667,0.833333,0.0,0.083333,0.6210178792982456
C10108,1,Low-Balance Occasional Users,0.62424,4500.0,0.0,389.96,0.0,0.0,312.343947,31,0.0,1.0,0.0,0.0,0.00013872
C10109,1,Low-Balance Occasional Users,862.07238,4000.0,0.0,0.0,920.309805,2236.890255,214.828158,0,0.0,0.0,0.083333,0.083333,0.215518095
C10110,0,High-Utilization Revolvers,2441.542991,4000.0,808.0,0.0,959.857263,532.741699,1026.976,4,0.25,0.0,0.333333,0.0,0.61038574775
C10111,1,Low-Balance Occasional Users,408.656365,2500.0,0.0,941.64,0.0,1097.78942,176.610605,12,0.0,1.0,0.0,0.083333,0.163462546
C10112,4,Cash Advance Revolvers,4986.400804,8000.0,0.0,0.0,5439.467563,1241.538024,1439.230899,0,0.0,0.0,0.583333,0.0,0.6233001005
C10113,0,High-Utilization Revolvers,1246.624558,2000.0,177.64,246.06,412.399058,577.050373,498.365419,10,0.166667,0.5,0.083333,0.0,0.623312279
C10114,4,Cash Advance Revolvers,6644.201651,9000.0,2721.59,1757.16,7205.520805,10857.94321,2469.571326,64,0.916667,1.0,0.583333,0.083333,0.7382446278888889
C10115,1,Low-Balance Occasional Users,156.216753,5500.0,585.63,769.23,0.0,858.976682,108.319927,34,0.333333,0.833333,0.0,0.0,0.028403046
C10116,0,High-Utilization Revolvers,3393.351236,4200.0,0.0,0.0,1008.348672,0.0,312.343947,0,0.0,0.0,0.083333,0.0,0.8079407704761905
C10117,3,Active Purchasers,5322.994094,8500.0,857.12,1955.08,2510.352951,1509.423237,1834.031569,81,0.25,1.0,0.333333,0.0,0.6262345992941176
C10118,4,Cash Advance Revolvers,6458.56209,7000.0,0.0,0.0,3360.228794,1277.76778,2760.115734,0,0.0,0.0,0.25,0.0,0.9226517271428571
C10119,2,Full-Payment Transactors,175.341651,5000.0,1252.36,256.54,0.0,1884.227778,136.639824,14,0.416667,0.333333,0.0,1.0,0.035068330200000004
C10120,1,Low-Balance Occasional Users,680.195157,3000.0,667.95,377.62,0.0,552.432305,207.720441,25,0.583333,1.0,0.0,0.0,0.226731719
C10121,2,Full-Payment Transactors,223.763616,6500.0,0.0,2309.78,0.0,1206.81188,99.372848,12,0.0,0.5,0.0,0.333333,0.034425171692307695
C10122,0,High-Utilization Revolvers,1785.626943,1800.0,0.0,0.0,576.206382,687.691735,2439.136113,0,0.0,0.0,0.25,0.0,0.9920149683333334
C10123,2,Full-Payment Transactors,54.933231,7000.0,0.0,495.0,0.0,1969.845566,147.049952,2,0.0,0.166667,0.0,1.0,0.007847604428571428
C10124,0,High-Utilization Revolvers,2662.629852,3000.0,0.0,0.0,509.023801,932.418855,709.207016,0,0.0,0.0,0.333333,0.0,0.887543284
C10125,3,Active Purchasers,8504.876253,17000.0,4100.08,2624.18,1686.599777,1888.756861,2167.446204,85,0.916667,1.0,0.5,0.0,0.5002868384117647
C10126,1,Low-Balance Occasional Users,1464.324632,9000.0,1174.39,0.0,0.0,0.0,312.343947,8,0.25,0.0,0.0,0.0,0.1627027368888889
C10127,3,Active Purchasers,2114.158683,8500.0,0.0,5580.85,0.0,3564.977774,630.00413,75,0.0,1.0,0.0,0.0,0.2487245509411765
C10128,0,High-Utilization Revolvers,2876.396444,3200.0,0.0,0.0,998.84867,1065.426905,1412.648089,0,0.0,0.0,0.166667,0.0,0.89887388875
C10130,4,Cash Advance Revolvers,14224.11541,19000.0,0.0,0.0,4614.427403,3066.614272,3406.258999,0,0.0,0.0,0.333333,0.0,0.7486376531578948
C10131,3,Active Purchasers,2392.917738,2800.0,12462.44,0.0,0.0,11628.71557,2000.990921,217,0.916667,0.0,0.0,0.0,0.8546134778571429
C10132,1,Low-Balance Occasional Users,57.453201,1200.0,0.0,0.0,272.713302,385.853874,84.697292,0,0.0,0.0,0.125,0.166667,0.0478776675
C10133,0,High-Utilization Revolvers,4245.855092,5000.0,1077.3,880.0,0.0,1004.35474,1086.428906,19,0.166667,0.583333,0.0,0.0,0.8491710184
C10134,4,Cash Advance Revolvers,11167.23403,17000.0,150.64,0.0,8362.154254,2606.059389,2894.077159,1,0.083333,0.0,0.5,0.0,0.6568961194117647
C10135,1,Low-Balance Occasional Users,69.405545,13000.0,0.0,0.0,2799.714934,0.0,312.343947,0,0.0,0.0,0.083333,0.0,0.005338888076923077
C10136,1,Low-Balance Occasional Users,116.654149,5000.0,907.0,0.0,273.558033,0.0,312.343947,8,0.25,0.0,0.083333,0.0,0.0233308298
C10137,0,High-Utilization Revolvers,4637.848144,5000.0,351.54,919.58,0.0,1906.032044,3572.279251,33,0.25,0.833333,0.0,0.0,0.9275696287999999
C10138,1,Low-Balance Occasional Users,24.28497,3000.0,0.0,250.6,0.0,319.762903,173.632006,7,0.0,0.5,0.0,0.0,0.00809499
C10139,4,Cash Advance Revolvers,9354.06045,13000.0,796.33,0.0,13748.47131,10664.65866,2600.875721,1,0.083333,0.0,0.666667,0.083333,0.7195431115384616
C10140,1,Low-Balance Occasional Users,231.108995,4000.0,0.0,440.0,0.0,554.116542,185.091037,22,0.0,0.916667,0.0,0.0,0.057777248749999996
C10141,0,High-Utilization Revolvers,1562.633343,2000.0,1169.63,160.99,0.0,1020.783647,709.610053,8,0.166667,0.25,0.0,0.0,0.7813166715
C10142,3,Active Purchasers,2494.868559,17000.0,1390.5,4101.29,0.0,1015.311953,615.92402,52,0.5,1.0,0.0,0.0,0.14675697405882354
C10143,0,High-Utilization Revolvers,706.132889,1200.0,714.52,183.34,586.268966,972.358048,184.524376,18,0.333333,0.916667,0.25,0.0,0.5884440741666667
C10144,3,Active Purchasers,19043.13856,18000.0,9449.07,12560.85,0.0,23018.57583,18621.01331,216,0.75,1.0,0.0,0.0,1.0
C10145,0,High-Utilization Revolvers,2235.103331,2500.0,720.6,0.0,723.308724,1061.292471,689.118919,12,1.0,0.0,0.083333,0.0,0.8940413323999999
C10146,0,High-Utilization Revolvers,947.13081,1000.0,148.66,48.4,0.0,492.200419,509.384182,5,0.25,0.166667,0.0,0.0,0.94713081
C10147,1,Low-Balance Occasional Users,764.042156,7500.0,0.0,0.0,1307.102516,1566.806897,172.959728,0,0.0,0.0,0.166667,0.0,0.10187228746666667
C10148,4,Cash Advance Revolvers,5347.814547,7000.0,0.0,0.0,4002.353384,0.0,312.343947,0,0.0,0.0,0.5,0.0,0.7639735067142857
C10149,4,Cash Advance Revolvers,10598.46777,21500.0,1300.48,784.0,0.0,3219.621433,3068.125648,13,0.416667,0.583333,0.0,0.0,0.49295198930232553
C10150,3,Active Purchasers,2163.678757,6500.0,3436.53,2342.83,0.0,4416.41268,546.439139,97,1.0,1.0,0.0,0.0,0.33287365492307697
C10151,1,Low-Balance Occasional Users,3057.400553,7500.0,1025.0,0.0,0.0,698.854095,819.682666,2,0.083333,0.0,0.0,0.0,0.40765340706666664
C10152,1,Low-Balance Occasional Users,19.354559,10000.0,0.0,689.7,0.0,746.691026,312.343947,10,0.0,0.833333,0.0,0.0,0.0019354558999999999
C10153,1,Low-Balance Occasional Users,264.811595,9000.0,28.65,0.0,384.26178,1235.630069,194.324456,1,0.083333,0.0,0.083333,0.083333,0.029423510555555556
C10154,0,High-Utilization Revolvers,1108.22253,1500.0,164.96,780.0,0.0,1955.198953,992.652486,9,0.25,0.416667,0.0,0.0,0.73881502
C10155,1,Low-Balance Occasional Users,906.573724,13500.0,80.0,959.2,103.102091,1855.235407,468.196732,11,0.083333,0.833333,0.083333,0.083333,0.06715360918518519
C10156,0,High-Utilization Revolvers,7679.62904,7000.0,0.0,4059.93,555.469352,3685.61062,12854.9397,14,0.0,0.5,0.166667,0.0,1.0
C10157,3,Active Purchasers,1523.911458,6500.0,3322.28,753.09,0.0,2254.26002,329.29648,31,1.0,1.0,0.0,0.0,0.2344479166153846
C10158,2,Full-Payment Transactors,49.206256,8000.0,0.0,870.24,0.0,835.839952,193.011166,24,0.0,1.0,0.0,1.0,0.0061507820000000005
C10159,3,Active Purchasers,13673.07961,20000.0,3959.81,5832.42,2444.445738,11717.30794,6042.391629,216,0.75,1.0,0.75,0.0,0.6836539805
C10160,2,Full-Payment Transactors,106.455975,4000.0,789.53,1673.59,0.0,2573.722764,95.342224,46,0.5,1.0,0.0,0.636364,0.02661399375
C10161,1,Low-Balance Occasional Users,119.760904,20000.0,0.0,1859.34,0.0,3104.275623,288.903628,4,0.0,0.25,0.0,0.25,0.0059880452
C10162,4,Cash Advance Revolvers,5837.105453,7900.0,3262.25,226.24,3303.1523,0.0,312.343947,46,1.0,0.5,0.75,0.0,0.7388741079746836
C10163,0,High-Utilization Revolvers,1734.510004,1800.0,0.0,0.0,66.275851,363.474455,2827.997525,0,0.0,0.0,0.166667,0.0,0.9636166688888889
C10164,3,Active Purchasers,2765.748281,11000.0,5087.31,2196.0,0.0,14373.3929,1058.128452,77,1.0,0.666667,0.0,0.25,0.25143166190909094
C10165,0,High-Utilization Revolvers,1046.37041,1200.0,295.0,0.0,93.579809,439.407082,362.838185,2,0.083333,0.0,0.083333,0.0,0.8719753416666667
C10166,0,High-Utilization Revolvers,2737.367678,3000.0,0.0,0.0,429.691164,778.827993,721.798576,0,0.0,0.0,0.416667,0.0,0.9124558926666667
C10167,0,High-Utilization Revolvers,4014.818167,8500.0,0.0,0.0,988.356213,1009.185035,1177.149934,0,0.0,0.0,0.083333,0.0,0.4723315490588235
C10168,0,High-Utilization Revolvers,871.568977,1200.0,115.0,533.22,0.0,1110.886425,208.298424,27,0.083333,1.0,0.0,0.0,0.7263074808333333
C10169,1,Low-Balance Occasional Users,1610.040203,4000.0,525.64,31.55,0.0,422.711848,616.005839,5,0.083333,0.166667,0.0,0.0,0.40251005075
C10170,2,Full-Payment Transactors,114.593817,1000.0,0.0,469.98,0.0,367.109312,86.102479,6,0.0,0.833333,0.0,0.5,0.114593817
C10171,0,High-Utilization Revolvers,5800.587339,6500.0,0.0,0.0,369.950794,1346.365584,1972.526015,0,0.0,0.0,0.083333,0.0,0.8923980521538462
C10172,1,Low-Balance Occasional Users,823.103926,8000.0,0.0,131.64,0.0,2916.071564,243.199498,12,0.0,1.0,0.0,0.0,0.10288799075
C10173,3,Active Purchasers,595.677343,15000.0,4330.53,747.61,1424.442602,4756.654374,241.894073,42,0.666667,0.75,0.083333,0.916667,0.03971182286666666
C10174,0,High-Utilization Revolvers,1128.124563,1000.0,0.0,924.6,0.0,1202.711782,1747.037345,12,0.0,1.0,0.0,0.0,1.0
C10175,1,Low-Balance Occasional Users,349.441102,4000.0,1393.5,581.9,0.0,1795.012223,167.219681,17,0.416667,0.333333,0.0,0.0,0.0873602755
C10176,1,Low-Balance Occasional Users,840.804076,4000.0,0.0,0.0,3671.777443,3621.266477,193.171404,0,0.0,0.0,0.222222,0.0,0.210201019
