customer_id,age,gender,region,tenure_months,loyalty_tier,preferred_channel,purchase_count_12m,avg_order_value,total_spend_12m,days_since_last_purchase,preferred_category,category_count,returns_count_12m,return_rate,email_open_rate,email_click_rate,app_sessions_30d,days_since_app_login,promo_response_rate,lapse_flag
CUST000033,40,Female,Southwest,27,Gold,Online,8,109.84,961.25,84,Beauty,1,1,0.125,0.187,0.059,7.0,56.0,0.172,0
CUST000034,49,Male,Northeast,16,Gold,In-Store,3,304.01,864.09,140,Food & Beverage,1,0,0.0,,,3.0,79.0,0.037,1
CUST000035,30,Male,Southeast,6,Silver,In-Store,3,217.55,690.56,128,Electronics,1,0,0.0,0.074,0.021,2.0,84.0,0.099,1
CUST000036,44,Male,Midwest,31,Silver,Online,6,94.92,516.16,115,Apparel,1,3,0.5,,,6.0,61.0,,1
CUST000037,26,Female,Midwest,46,Silver,Omnichannel,9,39.57,316.38,88,Home & Garden,2,0,0.0,0.184,0.022,6.0,48.0,0.157,0
CUST000038,18,Male,West,24,Gold,Online,19,89.56,1918.75,47,Sports,3,4,0.211,0.314,0.126,13.0,16.0,0.27,0
CUST000039,42,Male,Northeast,21,Bronze,Online,5,15.0,78.21,111,Food & Beverage,2,1,0.2,0.117,0.026,4.0,66.0,0.088,1
CUST000040,59,Male,West,4,Silver,Online,3,86.74,284.96,144,Beauty,1,0,0.0,0.044,0.012,2.0,75.0,0.056,1
CUST000041,54,Female,Midwest,9,Bronze,Omnichannel,1,70.52,71.21,148,Electronics,1,0,0.0,0.05,0.013,3.0,84.0,0.041,1
CUST000042,40,Female,Southwest,28,Silver,Omnichannel,7,57.62,361.56,105,Home & Garden,1,0,0.0,,,5.0,64.0,0.095,1
CUST000043,66,Male,Northeast,1,Silver,Online,13,31.59,395.47,45,Beauty,4,1,0.077,0.282,0.047,10.0,26.0,0.281,0
CUST000044,34,Female,West,22,Silver,Online,2,95.18,212.16,156,Sports,1,0,0.0,0.076,0.024,2.0,84.0,0.033,1
CUST000045,18,Male,Southeast,32,Bronze,Omnichannel,8,27.31,186.73,112,Apparel,2,1,0.125,0.191,0.074,6.0,66.0,0.132,1
CUST000046,18,Male,Midwest,8,Gold,In-Store,9,114.28,938.17,88,Home & Garden,5,0,0.0,0.173,0.043,7.0,56.0,0.179,0
CUST000047,25,Male,West,1,Silver,Online,5,83.15,384.98,113,Food & Beverage,2,0,0.0,0.102,0.022,3.0,77.0,0.097,1
CUST000048,53,Male,Southeast,37,Silver,In-Store,11,73.75,753.57,65,Sports,2,1,0.091,0.28,0.039,7.0,45.0,0.206,0
CUST000049,33,Male,Northeast,3,Silver,Omnichannel,11,27.42,265.3,60,Apparel,2,1,0.091,0.262,0.092,8.0,56.0,0.201,0
CUST000050,48,Female,West,10,Bronze,Online,3,34.58,114.58,127,Apparel,1,1,0.333,0.073,0.027,2.0,79.0,0.08,1
CUST000051,65,Female,Midwest,27,Bronze,Online,9,19.28,155.8,79,Electronics,2,1,0.111,0.22,0.046,6.0,60.0,0.179,0
CUST000052,26,Female,Southeast,37,Gold,Online,8,98.31,864.26,80,Beauty,3,0,0.0,0.216,0.08,6.0,71.0,0.183,0
CUST000053,48,Female,Midwest,43,Silver,In-Store,5,56.0,267.83,99,Home & Garden,1,0,0.0,0.131,0.018,4.0,58.0,0.108,1
CUST000054,49,Female,Midwest,16,Bronze,Online,4,37.48,148.0,134,Apparel,1,0,0.0,0.128,0.032,3.0,74.0,0.084,1
CUST000055,29,Male,West,14,Silver,Omnichannel,12,49.63,588.92,56,Beauty,3,0,0.0,0.265,0.052,8.0,39.0,0.23,0
CUST000056,60,Female,Northeast,41,Silver,Omnichannel,3,113.85,363.39,132,Sports,1,0,0.0,0.063,0.012,2.0,88.0,,1
CUST000057,37,Female,Midwest,18,Bronze,In-Store,5,24.59,131.48,110,Apparel,1,0,0.0,0.129,0.055,4.0,66.0,0.115,1
CUST000058,36,Female,Midwest,19,Silver,Online,10,40.17,418.65,83,Apparel,2,0,0.0,0.249,0.093,6.0,48.0,0.181,0
CUST000059,71,Male,West,12,Bronze,Omnichannel,9,18.07,175.99,80,Sports,2,0,0.0,0.228,0.084,6.0,45.0,0.157,0
CUST000060,49,Male,Southwest,10,Silver,In-Store,11,26.14,245.13,53,Beauty,3,0,0.0,,,10.0,42.0,0.219,0
CUST000061,54,Female,Midwest,14,Bronze,In-Store,3,45.81,137.63,163,Sports,1,1,0.333,0.079,0.025,2.0,69.0,0.072,1
CUST000062,60,Female,Southeast,9,Gold,Omnichannel,12,116.63,1409.65,66,Home & Garden,2,4,0.333,0.23,0.086,10.0,55.0,0.213,0
CUST000063,32,Male,Northeast,9,Silver,Omnichannel,9,85.56,709.82,89,Electronics,3,0,0.0,0.169,0.033,6.0,57.0,0.16,0
CUST000064,59,Female,Southeast,72,Gold,In-Store,8,109.15,887.97,89,Food & Beverage,1,1,0.125,0.165,0.033,7.0,54.0,0.182,0
CUST000065,34,Male,Northeast,9,Silver,Online,6,86.86,516.03,102,Beauty,1,0,0.0,0.142,0.058,,,,1
CUST000066,34,Female,West,6,Silver,Online,12,27.87,331.64,66,Electronics,3,1,0.083,0.289,0.052,8.0,45.0,0.208,0
CUST000067,38,Male,West,9,Silver,Omnichannel,2,178.81,316.69,129,Food & Beverage,1,0,0.0,0.07,0.024,1.0,74.0,0.053,1
CUST000068,33,Male,Southeast,19,Bronze,Omnichannel,1,91.78,90.0,137,Food & Beverage,1,1,1.0,0.048,0.02,1.0,82.0,0.06,1
CUST000069,53,Male,Southeast,53,Platinum,Online,15,192.04,3110.84,49,Electronics,3,1,0.067,0.274,0.119,9.0,27.0,0.238,0
CUST000070,45,Male,Northeast,34,Gold,Omnichannel,8,176.21,1371.61,81,Sports,3,0,0.0,0.241,0.05,6.0,46.0,0.171,0
CUST000071,35,Male,West,40,Silver,Omnichannel,12,51.22,612.33,70,Apparel,4,2,0.167,0.245,0.106,,,0.23,0
CUST000072,51,Female,Southwest,43,Silver,Online,11,38.77,486.29,66,Apparel,2,1,0.091,,,8.0,41.0,0.2,0
CUST000073,38,Female,Southeast,55,Bronze,In-Store,6,15.0,100.04,110,Apparel,2,0,0.0,0.137,0.025,5.0,60.0,0.111,1
CUST000074,37,Male,West,5,Silver,Online,10,61.34,692.29,62,Electronics,2,1,0.1,,,9.0,40.0,0.205,0
CUST000075,42,Female,Southeast,13,Silver,Omnichannel,9,53.12,417.51,78,Home & Garden,3,1,0.111,0.216,0.079,6.0,71.0,0.151,0
CUST000076,48,Male,Southeast,10,Silver,Online,6,34.91,216.91,137,Beauty,1,0,0.0,0.133,0.017,4.0,64.0,0.145,1
CUST000077,47,Male,Northeast,10,Silver,In-Store,9,38.5,317.75,92,Food & Beverage,1,2,0.222,0.181,0.032,7.0,71.0,,1
CUST000078,36,Male,Midwest,23,Silver,Online,4,78.52,305.06,124,Apparel,1,1,0.25,0.083,0.022,,,0.097,1
CUST000079,53,Male,Northeast,11,Silver,Online,17,15.0,268.75,10,Home & Garden,5,1,0.059,0.379,0.048,15.0,11.0,0.328,0
CUST000080,38,Female,Northeast,21,Silver,Online,2,133.83,274.0,135,Home & Garden,1,0,0.0,0.076,0.017,1.0,77.0,0.032,1
CUST000081,32,Male,Northeast,10,Silver,In-Store,2,100.72,201.79,144,Home & Garden,2,0,0.0,0.063,0.02,1.0,87.0,0.049,1
CUST000082,21,Female,Southeast,8,Bronze,Online,4,42.54,186.21,125,Beauty,1,0,0.0,0.129,0.048,4.0,72.0,0.09,1
CUST000083,55,Female,West,9,Silver,In-Store,8,51.77,436.85,97,Home & Garden,3,1,0.125,0.196,0.054,7.0,53.0,,1
CUST000084,42,Female,Northeast,35,Silver,Online,5,68.19,373.79,133,Home & Garden,1,0,0.0,0.094,0.024,4.0,74.0,0.055,1
CUST000085,44,Female,Southwest,20,Silver,In-Store,3,96.59,327.32,128,Food & Beverage,2,0,0.0,0.165,0.036,3.0,80.0,0.074,1
CUST000086,56,Female,Southeast,72,Platinum,In-Store,10,225.91,2402.76,98,Sports,2,1,0.1,0.181,0.041,8.0,64.0,0.171,1
CUST000087,35,Female,Southeast,39,Silver,Online,6,37.78,219.57,102,Home & Garden,1,0,0.0,0.211,0.061,,,0.117,1
CUST000088,22,Female,Northeast,14,Gold,Online,7,141.85,907.39,130,Apparel,1,0,0.0,0.174,0.042,5.0,51.0,0.155,1
CUST000089,42,Male,Southeast,6,Silver,Online,11,46.75,478.91,70,Food & Beverage,3,1,0.091,0.248,0.052,10.0,48.0,0.188,0
CUST000090,46,Female,Northeast,24,Silver,In-Store,6,41.32,240.23,108,Home & Garden,1,0,0.0,0.12,0.038,4.0,62.0,0.1,1
CUST000091,38,Female,Southeast,28,Silver,In-Store,6,45.58,293.18,103,Sports,2,2,0.333,0.183,0.082,5.0,69.0,0.107,1
CUST000092,62,Female,West,13,Silver,Online,4,116.52,401.78,116,Apparel,1,0,0.0,0.192,0.039,4.0,71.0,0.092,1
CUST000093,18,Male,West,5,Silver,In-Store,8,36.58,320.23,97,Sports,2,1,0.125,0.184,0.026,4.0,58.0,0.118,1
CUST000094,57,Male,Southwest,17,Silver,Online,8,58.83,507.09,97,Beauty,2,1,0.125,0.157,0.024,7.0,62.0,0.111,1
CUST000095,53,Male,Northeast,6,Silver,Online,11,38.12,419.25,80,Beauty,2,0,0.0,0.224,0.07,,,0.16,0
CUST000096,48,Female,Midwest,61,Silver,In-Store,10,40.45,392.32,92,Apparel,2,0,0.0,0.267,0.079,8.0,44.0,0.181,1
CUST000097,18,Male,Southeast,21,Gold,Online,11,140.54,1366.32,72,Beauty,4,1,0.091,0.251,0.034,,,0.171,0
CUST000098,59,Male,West,7,Bronze,In-Store,2,54.19,101.54,129,Apparel,1,0,0.0,0.069,0.017,5.0,74.0,0.059,1
CUST000099,27,Male,Southwest,5,Silver,Omnichannel,7,34.25,211.67,117,Apparel,1,1,0.143,0.121,0.048,4.0,62.0,0.111,1
CUST000100,34,Male,West,27,Silver,Online,5,40.29,220.72,109,Electronics,1,1,0.2,0.145,0.039,5.0,69.0,0.102,1
CUST000101,39,Male,Northeast,27,Silver,In-Store,6,66.39,399.46,114,Apparel,2,0,0.0,0.147,0.055,5.0,55.0,,1
CUST000102,47,Female,Southeast,20,Silver,Omnichannel,13,52.64,632.34,61,Apparel,4,0,0.0,0.276,0.032,11.0,37.0,0.235,0
CUST000103,50,Male,Northeast,20,Bronze,Online,4,54.69,187.13,124,Beauty,1,0,0.0,0.083,0.023,,,0.083,1
CUST000104,54,Female,Northeast,20,Silver,Online,6,44.29,267.65,112,Sports,2,0,0.0,0.104,0.04,,,0.114,1
CUST000105,53,Female,Northeast,9,Gold,Online,8,113.39,975.72,94,Apparel,1,1,0.125,0.159,0.049,6.0,59.0,0.127,1
CUST000106,45,Other,Southeast,60,Silver,In-Store,5,81.74,441.37,106,Sports,1,0,0.0,0.183,0.026,,,0.111,1
CUST000107,47,Female,Southeast,14,Silver,In-Store,6,46.65,255.92,126,Home & Garden,2,1,0.167,0.103,0.042,3.0,69.0,0.095,1
CUST000108,26,Female,Southeast,1,Silver,In-Store,8,59.8,549.45,116,Food & Beverage,1,0,0.0,0.178,0.029,7.0,50.0,0.147,1
CUST000109,31,Male,Southeast,9,Bronze,In-Store,6,30.87,189.04,105,Apparel,1,0,0.0,0.186,0.065,5.0,63.0,0.136,1
CUST000110,54,Other,West,3,Silver,In-Store,5,51.85,246.18,120,Apparel,2,0,0.0,0.089,0.011,3.0,66.0,0.12,1
CUST000111,53,Male,Northeast,9,Bronze,Online,2,33.68,65.19,167,Sports,1,0,0.0,0.112,0.032,1.0,77.0,0.037,1
CUST000112,52,Male,Northeast,20,Silver,Omnichannel,12,62.61,666.67,74,Electronics,2,1,0.083,0.269,0.055,10.0,37.0,0.224,0
CUST000113,34,Male,West,1,Silver,Online,5,50.78,253.39,121,Home & Garden,1,0,0.0,0.136,0.06,3.0,66.0,0.1,1
CUST000114,54,Male,Midwest,44,Silver,Online,16,46.13,794.17,30,Home & Garden,3,4,0.25,,,13.0,20.0,0.274,0
CUST000115,25,Male,Northeast,20,Silver,Omnichannel,13,60.34,763.1,48,Sports,4,1,0.077,0.306,0.078,9.0,51.0,0.247,0
CUST000116,57,Female,West,7,Silver,Omnichannel,10,67.29,746.96,75,Apparel,2,2,0.2,0.252,0.101,9.0,44.0,0.179,0
CUST000117,38,Female,Southeast,8,Silver,Omnichannel,4,117.13,465.25,125,Home & Garden,2,0,0.0,0.08,0.015,3.0,90.0,,1
CUST000118,65,Female,Southeast,13,Silver,Online,5,94.16,527.38,118,Electronics,2,1,0.2,0.092,0.026,3.0,67.0,0.138,1
CUST000119,20,Male,Midwest,6,Silver,Omnichannel,7,106.25,789.09,123,Electronics,3,0,0.0,0.162,0.063,6.0,71.0,0.152,1
CUST000120,66,Female,Southeast,1,Bronze,In-Store,4,42.67,147.89,127,Electronics,1,0,0.0,0.14,0.048,5.0,67.0,0.113,1
CUST000121,36,Male,Midwest,1,Silver,In-Store,6,66.78,348.63,110,Food & Beverage,2,0,0.0,0.19,0.049,5.0,57.0,0.108,1
CUST000122,36,Male,Southeast,9,Silver,Omnichannel,1,183.91,200.47,142,Electronics,1,0,0.0,0.089,0.026,1.0,82.0,0.027,1
CUST000123,44,Female,Southeast,2,Silver,Online,11,51.02,537.11,60,Home & Garden,3,2,0.182,0.245,0.049,9.0,37.0,,0
CUST000124,32,Female,Southwest,1,Silver,In-Store,8,59.77,433.58,77,Home & Garden,2,0,0.0,0.2,0.059,7.0,46.0,0.186,0
CUST000125,40,Male,Southeast,43,Silver,Omnichannel,7,60.33,468.59,105,Beauty,2,0,0.0,0.176,0.026,5.0,65.0,0.11,1
CUST000126,31,Female,West,7,Gold,Online,14,50.77,813.84,27,Home & Garden,4,2,0.143,0.337,0.123,14.0,19.0,0.269,0
CUST000127,32,Female,Southeast,15,Silver,Online,4,134.52,587.92,114,Home & Garden,3,0,0.0,0.113,0.051,3.0,69.0,,1
CUST000128,48,Female,Midwest,4,Silver,Online,16,40.07,684.42,26,Electronics,4,1,0.062,0.354,0.042,11.0,23.0,0.272,0
CUST000129,29,Male,Southeast,1,Bronze,In-Store,2,116.28,197.74,135,Beauty,1,0,0.0,0.073,0.028,1.0,81.0,0.034,1
CUST000130,31,Male,West,30,Bronze,Online,1,93.56,82.5,136,Home & Garden,1,0,0.0,0.115,0.045,2.0,80.0,,1
CUST000131,22,Male,West,2,Silver,Online,11,52.32,605.03,56,Apparel,2,1,0.091,0.279,0.031,8.0,36.0,,0
CUST000132,34,Male,Northeast,1,Silver,Online,7,40.95,278.87,131,Sports,2,2,0.286,0.114,0.035,4.0,68.0,0.085,1
CUST000133,60,Male,Northeast,19,Silver,Online,7,53.36,319.67,98,Beauty,1,0,0.0,0.218,0.09,6.0,52.0,0.151,1
CUST000134,30,Other,Southwest,1,Gold,Online,10,122.91,1317.92,77,Home & Garden,3,0,0.0,0.221,0.066,,,0.189,0
CUST000135,31,Male,Southwest,12,Gold,Online,13,116.03,1471.63,55,Home & Garden,3,2,0.154,,,12.0,28.0,0.242,0
CUST000136,44,Female,Midwest,7,Silver,Omnichannel,6,95.58,600.8,126,Apparel,1,1,0.167,0.134,0.06,5.0,68.0,0.09,1
CUST000137,36,Male,Midwest,8,Silver,Online,8,51.39,407.21,103,Sports,1,0,0.0,0.173,0.072,6.0,65.0,0.157,1
CUST000138,73,Female,West,1,Silver,Omnichannel,7,56.29,338.06,124,Apparel,1,0,0.0,0.164,0.053,7.0,54.0,,1
CUST000139,39,Female,Northeast,72,Bronze,Omnichannel,1,84.64,88.09,139,Electronics,1,0,0.0,0.035,0.01,1.0,79.0,0.073,1
CUST000140,46,Male,West,16,Silver,In-Store,8,46.26,402.06,99,Sports,1,1,0.125,0.186,0.031,,,0.185,1
CUST000141,55,Female,Midwest,18,Silver,Online,9,98.13,792.02,126,Home & Garden,2,2,0.222,0.23,0.091,7.0,60.0,0.19,1
CUST000142,54,Male,West,24,Silver,Omnichannel,8,60.72,542.75,76,Electronics,2,2,0.25,0.214,0.043,7.0,52.0,0.174,0
CUST000143,45,Male,Northeast,35,Silver,In-Store,7,111.03,702.96,87,Sports,1,0,0.0,0.166,0.017,7.0,57.0,0.162,0
CUST000144,39,Male,Midwest,20,Silver,Online,11,20.29,218.02,75,Food & Beverage,3,3,0.273,0.221,0.026,7.0,46.0,0.182,0
CUST000145,70,Male,Midwest,31,Silver,Online,9,35.69,323.83,87,Apparel,4,1,0.111,0.206,0.035,8.0,50.0,0.186,0
CUST000146,40,Female,West,13,Bronze,Online,4,43.25,163.34,113,Apparel,2,1,0.25,0.113,0.043,6.0,70.0,,1
CUST000147,35,Female,West,10,Gold,Online,14,72.88,1020.46,44,Home & Garden,3,1,0.071,0.295,0.13,13.0,31.0,0.264,0
CUST000148,32,Male,Southwest,38,Silver,In-Store,10,41.97,447.19,86,Electronics,2,0,0.0,0.257,0.09,9.0,56.0,0.227,0
CUST000149,18,Female,Southwest,44,Gold,Online,7,251.17,1871.31,105,Beauty,1,1,0.143,,,,,0.096,1
CUST000150,53,Female,Southeast,3,Bronze,In-Store,5,23.26,131.03,108,Home & Garden,1,0,0.0,0.107,0.043,3.0,67.0,0.125,1
CUST000151,18,Male,Northeast,17,Silver,Omnichannel,6,111.47,741.47,180,Home & Garden,1,2,0.333,0.115,0.044,4.0,61.0,0.109,1
CUST000152,41,Male,West,25,Gold,Online,9,129.17,1331.71,93,Electronics,2,1,0.111,0.245,0.097,8.0,43.0,,1
CUST000153,39,Male,Southwest,1,Gold,Online,11,77.39,875.65,69,Apparel,2,0,0.0,0.306,0.05,8.0,43.0,0.204,0
CUST000154,73,Female,Northeast,58,Silver,In-Store,14,43.78,594.63,40,Apparel,3,1,0.071,0.364,0.102,10.0,27.0,0.247,0
CUST000155,18,Male,Midwest,16,Silver,In-Store,5,53.87,248.35,123,Electronics,1,0,0.0,0.118,0.038,5.0,68.0,0.141,1
CUST000156,29,Male,Northeast,22,Bronze,Online,2,96.73,178.6,153,Beauty,1,1,0.5,0.07,0.024,4.0,73.0,0.052,1
CUST000157,40,Female,Northeast,4,Bronze,Omnichannel,5,17.83,79.81,121,Electronics,1,0,0.0,0.105,0.036,3.0,73.0,0.117,1
CUST000158,39,Female,West,6,Bronze,Omnichannel,3,35.02,112.2,119,Electronics,1,1,0.333,0.102,0.011,4.0,69.0,0.106,1
CUST000159,34,Male,West,2,Silver,In-Store,10,37.48,392.14,77,Electronics,2,0,0.0,0.217,0.095,,,0.194,0
CUST000160,40,Female,Midwest,6,Silver,Online,5,79.94,374.79,102,Food & Beverage,1,0,0.0,0.119,0.036,6.0,74.0,0.122,1
CUST000161,24,Female,West,14,Silver,In-Store,6,117.01,784.65,108,Apparel,1,0,0.0,0.124,0.021,5.0,70.0,0.088,1
CUST000162,47,Male,Northeast,39,Gold,In-Store,8,218.48,1775.26,118,Electronics,1,1,0.125,0.223,0.082,6.0,60.0,0.115,1
CUST000163,18,Female,Northeast,16,Bronze,Online,4,15.0,52.24,107,Electronics,1,0,0.0,0.105,0.012,4.0,68.0,0.147,1
CUST000164,41,Male,West,6,Bronze,Online,3,26.59,69.28,114,Food & Beverage,1,0,0.0,0.131,0.021,5.0,69.0,0.072,1
CUST000165,33,Male,Midwest,1,Silver,In-Store,14,42.97,537.18,51,Electronics,3,1,0.071,0.296,0.071,,,0.266,0
CUST000166,56,Male,Southeast,21,Silver,Online,3,80.58,220.8,118,Home & Garden,1,0,0.0,0.119,0.035,4.0,68.0,0.07,1
CUST000167,66,Male,West,11,Gold,Online,9,93.23,936.6,71,Apparel,3,0,0.0,0.214,0.053,8.0,71.0,0.188,0
CUST000168,37,Male,Southwest,72,Bronze,Omnichannel,3,23.92,77.75,132,Apparel,1,1,0.333,0.057,0.012,2.0,81.0,0.053,1
CUST000169,61,Male,West,33,Silver,Omnichannel,8,71.06,517.61,83,Electronics,2,1,0.125,0.225,0.081,7.0,47.0,0.219,0
CUST000170,37,Female,West,36,Silver,Omnichannel,15,15.0,208.02,37,Beauty,5,2,0.133,0.309,0.032,10.0,22.0,0.294,0
CUST000171,28,Female,Southeast,1,Silver,Online,3,66.98,209.19,120,Beauty,1,0,0.0,,,4.0,73.0,0.098,1
CUST000172,66,Male,Southeast,33,Bronze,Online,3,53.61,178.76,122,Beauty,1,0,0.0,0.108,0.047,2.0,77.0,0.084,1
CUST000173,49,Male,West,4,Silver,In-Store,7,50.92,336.84,98,Sports,1,0,0.0,0.157,0.024,4.0,59.0,0.132,1
CUST000174,42,Female,Midwest,19,Bronze,In-Store,3,41.5,125.45,148,Apparel,1,0,0.0,0.083,0.033,2.0,79.0,0.076,1
CUST000175,51,Male,Southeast,13,Bronze,In-Store,3,51.28,171.86,123,Apparel,1,0,0.0,0.088,0.015,3.0,85.0,0.08,1
CUST000176,45,Male,Midwest,18,Gold,Online,17,68.38,1256.84,27,Sports,4,0,0.0,0.355,0.088,,,,0
CUST000177,41,Female,West,3,Gold,In-Store,10,174.6,1951.07,70,Electronics,3,0,0.0,0.291,0.128,9.0,36.0,,0
CUST000178,23,Female,Northeast,13,Bronze,Omnichannel,5,22.21,103.66,122,Food & Beverage,1,0,0.0,0.078,0.029,,,0.058,1
CUST000179,38,Female,West,1,Silver,Online,13,45.1,619.88,52,Food & Beverage,3,1,0.077,0.245,0.055,8.0,43.0,0.266,0
CUST000180,50,Female,Northeast,1,Silver,Online,5,79.73,352.49,128,Apparel,2,1,0.2,0.123,0.027,4.0,64.0,0.089,1
CUST000181,40,Male,Southeast,23,Silver,In-Store,8,52.34,433.32,88,Beauty,3,1,0.125,0.211,0.045,,,0.159,0
CUST000182,54,Female,West,66,Silver,In-Store,9,59.56,504.52,100,Apparel,1,0,0.0,0.145,0.033,4.0,64.0,0.14,1
CUST000183,47,Male,Northeast,33,Silver,Online,11,36.21,422.39,76,Electronics,3,1,0.091,0.233,0.103,8.0,36.0,0.192,0
CUST000184,29,Male,Southeast,13,Silver,Omnichannel,8,97.3,694.77,77,Sports,2,0,0.0,0.229,0.05,8.0,54.0,0.18,0
CUST000185,23,Female,Southwest,1,Bronze,Online,4,15.0,62.98,129,Home & Garden,1,0,0.0,0.096,0.025,4.0,80.0,0.09,1
CUST000186,39,Female,West,1,Bronze,Omnichannel,5,27.25,144.77,125,Apparel,1,0,0.0,,,2.0,88.0,0.08,1
CUST000187,34,Male,Midwest,3,Silver,Online,2,214.61,475.21,135,Apparel,1,0,0.0,0.069,0.022,2.0,76.0,,1
CUST000188,46,Male,Northeast,72,Silver,Online,10,23.1,243.96,86,Apparel,3,1,0.1,,,7.0,87.0,0.212,0
CUST000189,31,Female,Southeast,11,Bronze,Omnichannel,2,29.65,59.71,136,Electronics,1,0,0.0,0.06,0.012,2.0,79.0,0.054,1
CUST000190,33,Female,Midwest,40,Silver,Omnichannel,7,31.46,238.99,92,Beauty,1,1,0.143,0.153,0.027,6.0,56.0,0.14,1
